dvsn,If I Get Caught
Dylan Sinclair,Open
Jessie Reyez,ONLY ONE
Savannah Ré,WTF
Ammoye,Journey Home
Celena,Like a Star
Exco Levi,Jah Love
Kairo McLean,In the Streets
"Kirk Diamond, Kairo McLean and Finn",Reggae Party
Aysanabee,Nomads
Digging Roots,Cut My Hair
Indian City,The Path
Julian Taylor,Seeds
Susan Aglukark,The Crossing
Blackie and The Rodeo Kings,Lost Those Blues Again
Fortunate Ones,Heavy Heart
Shakura S'Aida,Clap Yo Hands & Moan
The Bros. Landreth,What in the World
The East Pointers,Stronger Than You Know
Allison de Groot & Tatiana Hargreaves,The Banks of the Miramichi
Le Vent du Nord,Ma Louise
Mama's Broke,Narrow Line
Pharis & Jason Romero,Cannot Change It All
The McDades,Willie Reilly
Angelique Francis,Long River
Dan Bremnes,Hold You Tight
Crystal Shawanda,How Bad Do You Want It
Daniel Ojo,Trust in the Lord
Harrison Kennedy,All I Need Is You
Jordan St. Cyr,Fires
Love & The Outcome,You Got This
Spencer Mackenzie,Baptized by Cold Water
Tehillah Worship,Pruning
The Harpoonist & The Axe Murderer,Pretty Please
Ghalia Benali & Constantinople,Synapses
Lenka Lichtenberg,What Is This Place (Kam jsme to zašli_)
Pierre Kwenders,Papa Wemba
Ruby Singh,Nakshatra
Wesli,Makonay
Akeel Henry,For Tonight
Akeel Henry,Splash
Banx & Ranx,CTRL + ALT + DEL
Banx & Ranx,Dynamite
KAYTRANADA,Dog Food
KAYTRANADA,Iced Tea
Mike Wise,10 Thing I Hate About You
Mike Wise,Yuck
Murda Beatz,California Breeze
Murda Beatz,Have Mercy
Derek Hoffman,My Body
Derek Hoffman,Stronger Than You Know
George Seara,Hell_Heaven
George Seara,It'll Be Okay
Gus van Go,Grow Up Tomorrow
Gus van Go,What Feels Like Eternity
Jason Dufour,She Don't Know
Jason Dufour,The Old Me
Serban Ghenea,That's What I Want
Serban Ghenea,Unholy
Mecha Maiko,NOT OK
Odonis Odonis,Shadow Play
Rezz,ID 1
Rich Aucoin,Hypernormalization
Teen Daze,2AM
Cancer Bats,Lonely Bong
Get the Shot,Deathbound
Skull Fist,Long Live the Fist
VOIVOD,Synchro Anarchy
WAKE,Swallow the Light
Francois Klark,Paper Planes
Jann Arden,Love Will Be Waiting
Marc Jordan & Amy Sky,You Were Always On My Mind
Michael Bublé,I'll Never Not Love You
Tyler Shaw,Oh Holy Night
Courtney Gilmour,Album Title Drop
Jackie Pirico,Psychiatrist
Jon Dore,Alaska and the Eagle Feather Law
Matt Wright,Here Live Not a Cat
Zabrina Douglas,Kids and the Tooth Fairy
Daniel Caesar,Please Do Not Lean
Jon Vinyl,Slowly
SAFE,All I Need
THEHONESTGUY,My Pleasure
Savannah Ré,Last One
6ixbuzz and Pengz,Alejandro Sosa
Dom Vallie,Been Himma
Freddie Dredd,Wrath
KAYTRANADA and Anderson .Paak,Twin Flame
NAV,Wrong Decisions
Bensley,Debonair
BLOND_ISH and Cameron Jack,Aye Aye
Fred Everything,The Time Is (Now)
Greg Gow,I KNEW TECHNO
Tiga,Easy
Cikwes,kihtehayahk ᑭᐦᑌᐦᐊᔭᐦ (Elders)
Iva & Angu,Qimmikuluapik
Joel Wood,Kôskona Pîkiskwewin
Northern Cree,Mîyo Iskwew
The Bearhead Sisters,Waka Ne
